iter	RMSE
0	14.8481365
1	14.49087322
2	14.11177627
3	13.80664034
4	13.47549612
5	13.17919402
6	12.90697871
7	12.63053411
8	12.36063968
9	12.05915564
10	11.79794915
11	11.52309169
12	11.2669216
13	11.03293515
14	10.79404479
15	10.57579404
16	10.36285332
17	10.17915366
18	9.980286228
19	9.781444895
20	9.583244471
21	9.399696097
22	9.243486689
23	9.071038454
24	8.91462955
25	8.789030314
26	8.644877857
27	8.507785174
28	8.367485729
29	8.248843644
30	8.139593757
31	8.023007032
32	7.91869111
33	7.818081988
34	7.73309404
35	7.628330722
36	7.524678753
37	7.425034648
38	7.348410123
39	7.259462948
40	7.177308544
41	7.11006186
42	7.035914249
43	6.971206978
44	6.899851135
45	6.827567118
46	6.763052251
47	6.699426864
48	6.647315421
49	6.589306689
50	6.541852672
51	6.489267624
52	6.438675055
53	6.389153872
54	6.339858587
55	6.292011229
56	6.250857771
57	6.205049077
58	6.168928956
59	6.134630802
60	6.096298307
61	6.061464051
62	6.029997043
63	6.003079654
64	5.971521234
65	5.944477047
66	5.912435429
67	5.8838391
68	5.856642884
69	5.832567961
70	5.805338159
71	5.785092938
72	5.76560274
73	5.744365652
74	5.72105876
75	5.703346555
76	5.682009607
77	5.663197288
78	5.64386924
79	5.624195932
80	5.609576555
81	5.591419734
82	5.574171481
83	5.557028842
84	5.545761807
85	5.530283595
86	5.516314518
87	5.50019546
88	5.489205022
89	5.477331042
90	5.461663695
91	5.449999706
92	5.43804654
93	5.42800955
94	5.420346691
95	5.407598813
96	5.396777245
97	5.386189957
98	5.377669221
99	5.364908156
100	5.354475393
101	5.343321549
102	5.335521871
103	5.323312936
104	5.315903748
105	5.305822409
106	5.2956497
107	5.287631147
108	5.276484357
109	5.268049768
110	5.258546546
111	5.249251696
112	5.244013667
113	5.237559442
114	5.23013926
115	5.221811781
116	5.218530823
117	5.211287799
118	5.205069759
119	5.201410309
120	5.198261336
121	5.196077363
122	5.187059087
123	5.179132214
124	5.172955373
125	5.166510324
126	5.158824116
127	5.152763443
128	5.145967859
129	5.140458465
130	5.131331791
131	5.125335524
132	5.119489464
133	5.114227689
134	5.109164914
135	5.104760054
136	5.100133673
137	5.096839998
138	5.090597219
139	5.086567381
140	5.08209489
141	5.079105387
142	5.078395443
143	5.074943841
144	5.071294731
145	5.069220829
146	5.062910979
147	5.058086361
148	5.056224021
149	5.050885871
150	5.047328595
151	5.042463
152	5.04018062
153	5.036631609
154	5.03320758
155	5.028940934
156	5.02306298
157	5.018174074
158	5.015845776
159	5.013481959
160	5.011298889
161	5.006552404
162	5.004446422
163	5.001941127
164	4.996089513
165	4.991177066
166	4.987655822
167	4.982510362
168	4.978413125
169	4.970816108
170	4.966108943
171	4.960119146
172	4.9554425
173	4.951504103
174	4.947119083
175	4.941118874
176	4.938257566
177	4.935784468
178	4.932364204
179	4.929085986
180	4.925719973
181	4.919250293
182	4.916442909
183	4.912018732
184	4.908966862
185	4.905920359
186	4.901311055
187	4.895600331
188	4.891257977
189	4.888875523
190	4.883473391
191	4.87861608
192	4.876677984
193	4.873718191
194	4.871397546
195	4.868903984
196	4.862835197
197	4.856908028
198	4.854581804
199	4.848292695
200	4.84130379
201	4.836103334
202	4.830121123
203	4.826087581
204	4.824214112
205	4.818590771
206	4.815647726
207	4.813007655
208	4.809943346
209	4.80335008
210	4.800347057
211	4.797996862
212	4.796146506
213	4.791082183
214	4.789570149
215	4.78914915
216	4.784455716
217	4.780199753
218	4.778212145
219	4.773189032
220	4.767840059
221	4.765895929
222	4.761599309
