iter	Passed	Remaining
0	114	114194
1	116	57913
2	117	38898
3	117	29322
4	119	23780
5	121	20092
6	124	17620
7	126	15683
8	128	14114
9	129	12820
10	130	11753
11	132	10873
12	133	10128
13	134	9463
14	135	8896
15	136	8389
16	139	8065
17	142	7747
18	143	7393
19	144	7072
20	145	6788
21	146	6531
22	148	6300
23	150	6102
24	151	5899
25	153	5760
26	155	5598
27	156	5447
28	158	5321
29	160	5187
30	161	5042
31	162	4930
32	164	4813
33	165	4703
34	167	4608
35	169	4529
36	170	4447
37	172	4354
38	173	4270
39	174	4187
40	175	4111
41	177	4045
42	178	3976
43	179	3907
44	181	3841
45	182	3784
46	183	3724
47	185	3670
48	186	3612
49	187	3561
50	189	3517
51	190	3475
52	191	3425
53	192	3376
54	194	3333
55	195	3296
56	197	3265
57	198	3229
58	201	3211
59	202	3178
60	205	3160
61	206	3126
62	207	3091
63	209	3058
64	210	3023
65	211	2998
66	214	2988
67	218	2989
68	219	2962
69	220	2936
70	222	2908
71	223	2878
72	224	2849
73	225	2821
74	227	2804
75	229	2792
76	231	2770
77	232	2746
78	233	2725
79	235	2703
80	236	2683
81	237	2662
82	239	2642
83	240	2621
84	241	2599
85	243	2589
86	245	2577
87	247	2569
88	249	2552
89	250	2532
90	251	2512
91	253	2497
92	254	2479
93	255	2464
94	257	2456
95	260	2456
96	263	2449
97	264	2435
98	265	2418
99	267	2403
100	268	2387
101	269	2370
102	270	2357
103	273	2352
104	275	2344
105	276	2332
106	277	2318
107	279	2305
108	280	2292
109	281	2277
110	282	2264
111	283	2250
112	285	2238
113	287	2235
114	289	2228
115	290	2217
116	291	2202
117	293	2190
118	294	2182
119	296	2170
120	297	2159
121	298	2144
122	298	2131
123	301	2127
124	303	2127
125	305	2119
126	307	2110
127	308	2101
128	309	2090
129	310	2079
130	312	2070
131	313	2060
132	314	2051
133	316	2044
134	318	2042
135	319	2032
136	321	2022
137	322	2013
138	323	2004
139	324	1994
140	326	1986
141	327	1978
142	328	1966
143	329	1957
144	330	1951
145	332	1944
146	334	1940
147	335	1932
148	336	1924
149	338	1916
150	339	1908
151	340	1900
152	341	1892
153	342	1883
154	343	1874
155	345	1871
156	348	1869
157	349	1863
158	350	1855
159	352	1848
160	353	1840
161	354	1833
162	356	1829
163	357	1821
164	358	1815
165	361	1814
166	363	1812
167	364	1805
168	365	1797
169	366	1789
170	367	1782
171	368	1775
172	369	1767
173	370	1759
174	371	1752
175	372	1744
176	373	1737
177	376	1739
178	378	1736
179	379	1729
180	380	1722
181	382	1717
182	383	1709
183	383	1702
184	384	1695
185	385	1688
186	386	1682
187	387	1675
188	389	1670
189	392	1671
190	393	1666
191	394	1660
192	395	1654
193	397	1650
194	398	1644
195	399	1639
196	400	1633
197	401	1627
198	403	1623
199	405	1620
200	407	1618
201	408	1613
202	409	1607
203	410	1602
204	411	1596
205	412	1590
206	413	1583
207	414	1577
208	415	1573
209	416	1568
210	417	1562
211	419	1559
212	421	1558
213	423	1554
214	424	1549
215	425	1542
216	426	1537
217	427	1531
218	427	1525
219	428	1520
220	430	1518
221	432	1515
222	434	1512
223	436	1510
224	437	1506
225	438	1503
226	439	1497
227	440	1492
228	441	1487
229	442	1481
230	443	1476
231	444	1472
232	445	1467
